Source File Name:	SigPro_Rock
Signal:	FFT - Usr FFT / Vib / Velocity - Magnitude

Frequency	Magnitude	Magnitude	Magnitude
[ Hz ]	[ m/s ]	[ m/s ]	[ m/s ]
19.140625	8.243134e-8	6.678847e-8	6.112612e-8
19.53125	9.743337e-8	5.465615e-8	7.889224e-8
19.921875	6.512111e-8	7.742135e-8	7.327856e-8
20.3125	1.564799e-8	1.233678e-7	1.321324e-7
20.703125	1.071289e-7	5.098989e-8	1.073536e-7
21.09375	1.849177e-7	2.266239e-7	1.960862e-7
21.484375	1.148731e-7	1.268653e-7	2.130492e-7
21.875	1.032001e-7	1.316559e-7	2.276594e-7
22.265625	1.834178e-7	4.426861e-8	3.53329e-7
22.65625	1.365269e-7	3.300821e-8	4.609292e-7
23.046875	4.383994e-7	4.993821e-7	4.717832e-7
23.4375	5.849101e-7	2.350654e-7	2.961448e-7
23.828125	6.432158e-7	4.952066e-7	5.123866e-7
24.21875	1.963387e-7	3.345131e-7	5.335667e-8
24.609375	4.984969e-7	2.255349e-7	1.701241e-7
25	3.836971e-7	7.204024e-8	2.288425e-7
25.390625	2.297048e-7	2.785074e-7	1.273174e-7
25.78125	3.85102e-7	3.008022e-7	2.942981e-7
26.171875	1.807012e-7	1.183732e-7	1.546877e-7
26.5625	2.675419e-7	4.132229e-7	1.05423e-7
26.953125	2.370488e-7	2.263906e-7	3.342894e-7
27.34375	1.577029e-7	2.945195e-7	3.927164e-7
27.734375	2.552798e-7	1.277764e-7	1.731335e-7
28.125	3.428065e-7	9.93758e-7	5.802993e-7
28.515625	5.231756e-7	1.255639e-6	1.351055e-7
28.90625	1.912918e-6	1.822441e-6	1.740001e-6
29.296875	1.152392e-6	1.28734e-6	6.574251e-7
29.6875	7.739541e-7	7.621919e-7	1.329439e-7
30.078125	1.741858e-7	1.8976e-7	1.786205e-7
30.46875	3.76696e-7	2.05447e-7	1.279466e-7
30.859375	3.02958e-7	3.773685e-7	1.785632e-7
31.25	1.917797e-7	5.096057e-7	4.241105e-7
31.640625	1.655071e-7	1.8029e-7	2.691409e-7
32.03125	1.860836e-7	4.528565e-7	3.772948e-7
32.421875	1.123139e-7	2.905779e-7	3.758951e-7
32.8125	3.986289e-7	2.14224e-8	2.892424e-7
33.203125	2.637489e-7	1.195529e-7	1.049305e-7
33.59375	3.655459e-7	1.152114e-7	9.209941e-8
33.984375	2.906176e-7	2.022392e-7	1.614832e-7
34.375	1.491354e-7	1.064416e-7	3.810685e-7
34.765625	1.017687e-7	7.635401e-8	4.537903e-7
35.15625	1.36204e-7	2.69e-7	1.281247e-7
35.546875	1.267501e-7	5.651482e-8	6.770824e-8
35.9375	6.452577e-8	1.427544e-7	1.201107e-7
36.328125	1.859997e-8	6.207583e-8	8.346322e-8
36.71875	1.301561e-7	1.53617e-8	4.189721e-8
37.109375	3.724495e-8	5.03818e-8	4.123818e-8
37.5	1.027274e-7	2.215201e-8	8.647368e-8
37.890625	4.089132e-8	9.297344e-8	8.280506e-8
38.28125	9.501009e-8	1.097602e-7	4.995917e-8
38.671875	2.822525e-8	5.748361e-8	8.230416e-8
39.0625	1.310864e-7	1.471338e-8	2.454496e-8
39.453125	8.92362e-8	1.169744e-7	4.002327e-8
39.84375	2.336155e-7	1.582597e-7	1.138711e-7
40.234375	2.9549e-7	4.601129e-7	1.064194e-7
40.625	1.630798e-7	1.607599e-7	1.025952e-7
41.015625	2.599836e-7	1.252529e-7	1.803174e-7
41.40625	5.194192e-8	1.196012e-7	1.331149e-7
41.796875	1.099705e-7	4.621452e-8	1.240215e-7
