Source File Name:	SigPro_Rock
Signal:	FFT - Usr FFT / Vib / Velocity - Magnitude

Frequency	Magnitude	Magnitude	Magnitude
[ Hz ]	[ m/s ]	[ m/s ]	[ m/s ]
61.328125	1.473544e-6	3.700827e-7	4.947289e-7
61.71875	6.802067e-7	6.841609e-7	7.846966e-7
62.109375	1.302422e-7	9.932861e-7	4.533172e-7
62.5	1.566951e-6	1.134974e-6	8.152566e-7
62.890625	7.526007e-7	2.632734e-7	1.186151e-6
63.28125	1.535888e-7	4.943499e-7	9.691752e-7
63.671875	9.097169e-7	8.76568e-7	1.059821e-6
64.0625	9.089648e-7	7.452272e-7	1.189769e-6
64.453125	1.378511e-7	8.950072e-7	1.241673e-6
64.84375	1.086498e-6	1.022709e-6	1.023482e-6
65.234375	5.85031e-7	3.241381e-7	9.521467e-7
65.625	2.920505e-7	1.276244e-6	1.670053e-6
66.015625	1.082411e-6	1.775383e-6	1.653331e-6
66.40625	1.241294e-6	1.692914e-6	1.817554e-6
66.796875	6.138008e-7	1.002275e-6	1.731895e-6
67.1875	1.440848e-6	1.444553e-6	2.00117e-6
67.578125	1.404871e-6	2.417202e-6	2.61841e-6
67.96875	1.12318e-6	2.623446e-6	2.810345e-6
68.359375	1.466286e-6	2.275324e-6	2.473805e-6
68.75	1.882351e-6	1.3114e-6	2.359236e-6
69.140625	1.245709e-6	2.53354e-6	2.891841e-6
69.53125	1.454848e-6	3.418914e-6	3.963993e-6
69.921875	2.430505e-6	3.472528e-6	4.528864e-6
70.3125	1.772584e-6	2.314808e-6	3.637231e-6
70.703125	1.47249e-6	3.535559e-6	3.367349e-6
71.09375	3.114014e-6	3.444902e-6	5.086383e-6
71.484375	3.251041e-6	4.985333e-6	5.840618e-6
71.875	2.616639e-6	4.376855e-6	4.767362e-6
72.265625	2.664655e-6	2.915467e-6	4.787068e-6
72.65625	3.627725e-6	4.270773e-6	6.140015e-6
73.046875	3.475331e-6	6.818128e-6	7.233965e-6
73.4375	3.743369e-6	6.658105e-6	7.64275e-6
73.828125	3.84321e-6	4.295594e-6	6.973727e-6
74.21875	3.719601e-6	6.557191e-6	6.059936e-6
74.609375	3.687181e-6	7.005504e-6	1.067489e-5
75	6.822218e-6	1.036937e-5	1.109636e-5
75.390625	5.097299e-6	8.510153e-6	9.152525e-6
75.78125	6.953867e-6	5.980185e-6	9.841741e-6
76.171875	6.990362e-6	7.785005e-6	1.199931e-5
76.5625	7.250559e-6	9.628428e-6	1.119784e-5
76.953125	6.964015e-6	1.338185e-5	1.212966e-5
77.34375	6.190215e-6	7.503755e-6	1.286746e-5
77.734375	6.006284e-6	7.604538e-6	7.76609e-6
78.125	9.552512e-6	1.077398e-5	1.313987e-5
78.515625	6.90595e-6	1.074796e-5	1.419635e-5
78.90625	8.283304e-6	1.193803e-5	1.375991e-5
79.296875	7.093074e-6	5.103302e-6	9.541498e-6
79.6875	5.572652e-6	6.134731e-6	9.223656e-6
80.078125	6.205601e-6	8.200815e-6	9.076894e-6
80.46875	7.399327e-6	8.907749e-6	1.15802e-5
80.859375	4.413956e-6	6.833639e-6	8.782947e-6
81.25	3.2216e-6	2.500478e-6	6.785619e-6
81.640625	4.447661e-6	4.75152e-6	8.271213e-6
82.03125	3.758861e-6	7.434589e-6	9.138876e-6
82.421875	4.666997e-6	6.55747e-6	8.525429e-6
82.8125	4.961658e-6	3.31182e-6	7.275929e-6
83.203125	3.541701e-6	4.74735e-6	5.322135e-6
83.59375	2.871616e-6	7.080901e-6	8.192484e-6
83.984375	4.641803e-6	5.390077e-6	6.726022e-6
84.375	4.262723e-6	7.795915e-6	8.540871e-6
84.765625	2.125443e-6	1.008595e-5	1.377952e-5
85.15625	4.949226e-6	1.689044e-5	1.97669e-5
85.546875	4.965416e-6	7.096306e-6	7.31801e-6
85.9375	5.705539e-6	5.180282e-6	5.631302e-6
86.328125	3.084317e-6	4.812557e-6	4.462702e-6
86.71875	3.427869e-6	3.380443e-6	5.490182e-6
87.109375	4.226756e-6	4.173129e-6	7.812175e-6
87.5	4.174675e-6	5.196699e-6	6.958278e-6
87.890625	4.046163e-6	5.188586e-6	6.638093e-6
88.28125	2.427435e-6	2.387433e-6	5.357114e-6
88.671875	2.935595e-6	3.278272e-6	5.167953e-6
89.0625	3.913942e-6	5.882492e-6	7.506921e-6
89.453125	3.868737e-6	4.92892e-6	7.120096e-6
89.84375	2.775815e-6	3.534813e-6	5.432669e-6
90.234375	2.696984e-6	2.294324e-6	4.381963e-6
90.625	3.708595e-6	4.23057e-6	6.068341e-6
91.015625	3.83952e-6	5.194688e-6	6.315973e-6
91.40625	3.967667e-6	4.434255e-6	5.213205e-6
91.796875	2.707677e-6	2.740562e-6	3.845488e-6
92.1875	2.649521e-6	2.879299e-6	3.73502e-6
92.578125	3.998623e-6	3.813142e-6	4.538904e-6
92.96875	4.588695e-6	4.064525e-6	4.517757e-6
93.359375	3.040313e-6	3.244902e-6	3.329221e-6
93.75	2.544951e-6	1.651356e-6	1.903102e-6
94.140625	3.970465e-6	2.952424e-6	2.837132e-6
94.53125	4.222464e-6	4.201128e-6	3.644003e-6
94.921875	3.889958e-6	4.009974e-6	3.408526e-6
95.3125	3.799843e-6	2.56834e-6	2.604801e-6
95.703125	3.25221e-6	2.792043e-6	2.407422e-6
96.09375	4.300831e-6	4.305566e-6	3.143284e-6
96.484375	4.930413e-6	4.562626e-6	3.752757e-6
96.875	4.315224e-6	3.884109e-6	3.368246e-6
97.265625	3.144756e-6	2.533631e-6	2.142554e-6
97.65625	4.386648e-6	3.655548e-6	2.950415e-6
98.046875	5.449792e-6	4.833241e-6	3.822188e-6
98.4375	4.469998e-6	4.879651e-6	3.881432e-6
98.828125	4.273447e-6	3.850557e-6	2.852396e-6
99.21875	3.963086e-6	2.631479e-6	2.373222e-6
99.609375	4.985469e-6	4.414149e-6	3.646471e-6
100	5.267809e-6	5.368357e-6	3.941914e-6
100.390625	4.834571e-6	4.601975e-6	3.847988e-6
100.78125	3.757621e-6	2.813931e-6	2.207742e-6
101.171875	4.632946e-6	3.796913e-6	3.243785e-6
101.5625	5.461746e-6	5.211456e-6	4.232501e-6
101.953125	5.142676e-6	5.274119e-6	4.199035e-6
102.34375	4.353516e-6	4.068964e-6	3.288747e-6
102.734375	4.088297e-6	2.730148e-6	2.270373e-6
103.125	5.192288e-6	4.437019e-6	3.951419e-6
103.515625	5.321074e-6	5.416632e-6	4.242064e-6
103.90625	5.24559e-6	5.200162e-6	3.640693e-6
104.296875	4.757873e-6	3.302189e-6	2.84451e-6
104.6875	5.002211e-6	3.47764e-6	3.071195e-6
105.078125	5.49884e-6	5.807497e-6	4.366664e-6
