Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
67.96875,0,1.12E-06,1.49E-05,-11.22736907,1.12
68.359375,0,1.47E-06,1.49E-05,-10.0696758,1.47
68.75,0,1.88E-06,1.49E-05,-8.984856593,1.88
69.140625,0,1.25E-06,1.49E-05,-10.77769666,1.25
69.53125,0,1.45E-06,1.49E-05,-10.10368647,1.45
69.921875,0,2.43E-06,1.49E-05,-7.874897496,2.43
70.3125,0,1.77E-06,1.49E-05,-9.245794435,1.77
70.703125,0,1.47E-06,1.49E-05,-10.05133914,1.47
71.09375,0,3.11E-06,1.49E-05,-6.798657077,3.11
71.484375,0,3.25E-06,1.49E-05,-6.611638218,3.25
71.875,0,2.62E-06,1.49E-05,-7.554424583,2.62
72.265625,0,2.66E-06,1.49E-05,-7.475452807,2.66
72.65625,0,3.63E-06,1.49E-05,-6.135519105,3.63
73.046875,0,3.48E-06,1.49E-05,-6.321900941,3.48
73.4375,0,3.74E-06,1.49E-05,-5.999236289,3.74
73.828125,0,3.84E-06,1.49E-05,-5.884921527,3.84
74.21875,0,3.72E-06,1.49E-05,-6.026899126,3.72
74.609375,0,3.69E-06,1.49E-05,-6.064918112,3.69
75,0,6.82E-06,1.49E-05,-3.392606755,6.82
75.390625,0,5.10E-06,1.49E-05,-4.65846159,5.1
75.78125,0,6.95E-06,1.49E-05,-3.309598883,6.95
76.171875,0,6.99E-06,1.49E-05,-3.286866019,6.99
76.5625,0,7.25E-06,1.49E-05,-3.128147775,7.25
76.953125,0,6.96E-06,1.49E-05,-3.303265705,6.96
77.34375,0,6.19E-06,1.49E-05,-3.814805351,6.19
77.734375,0,6.01E-06,1.49E-05,-3.94580405,6.01
78.125,0,9.55E-06,1.49E-05,-1.930686765,9.55
78.515625,0,6.91E-06,1.49E-05,-3.339628387,6.91
78.90625,0,8.28E-06,1.49E-05,-2.54982668,8.28
79.296875,0,7.09E-06,1.49E-05,-3.223517777,7.09
79.6875,0,5.57E-06,1.49E-05,-4.271243453,5.57
80.078125,0,6.21E-06,1.49E-05,-3.8040242,6.21
80.46875,0,7.40E-06,1.49E-05,-3.039940478,7.4
80.859375,0,4.41E-06,1.49E-05,-5.283582688,4.41
81.25,0,3.22E-06,1.49E-05,-6.651146518,3.22
81.640625,0,4.45E-06,1.49E-05,-5.250545904,4.45
82.03125,0,3.76E-06,1.49E-05,-5.981300023,3.76
82.421875,0,4.67E-06,1.49E-05,-5.041487467,4.67
82.8125,0,4.96E-06,1.49E-05,-4.775594427,4.96
83.203125,0,3.54E-06,1.49E-05,-6.239743743,3.54
83.59375,0,2.87E-06,1.49E-05,-7.15059904,2.87
83.984375,0,4.64E-06,1.49E-05,-5.064995635,4.64
84.375,0,4.26E-06,1.49E-05,-5.434991561,4.26
84.765625,0,2.13E-06,1.49E-05,-8.457368058,2.13
85.15625,0,4.95E-06,1.49E-05,-4.786489827,4.95
85.546875,0,4.97E-06,1.49E-05,-4.772306291,4.97
85.9375,0,5.71E-06,1.49E-05,-4.168895901,5.71
86.328125,0,3.08E-06,1.49E-05,-6.840272608,3.08
86.71875,0,3.43E-06,1.49E-05,-6.381620519,3.43
87.109375,0,4.23E-06,1.49E-05,-5.471790906,4.23
87.5,0,4.17E-06,1.49E-05,-5.525635973,4.17
87.890625,0,4.05E-06,1.49E-05,-5.66142894,4.05
88.28125,0,2.43E-06,1.49E-05,-7.880386589,2.43
88.671875,0,2.94E-06,1.49E-05,-7.054901291,2.94
89.0625,0,3.91E-06,1.49E-05,-5.805718828,3.91
89.453125,0,3.87E-06,1.49E-05,-5.856170614,3.87
89.84375,0,2.78E-06,1.49E-05,-7.297957501,2.78
90.234375,0,2.70E-06,1.49E-05,-7.423078984,2.7
90.625,0,3.71E-06,1.49E-05,-6.0397686,3.71
91.015625,0,3.84E-06,1.49E-05,-5.889093342,3.84
91.40625,0,3.97E-06,1.49E-05,-5.74651053,3.97
91.796875,0,2.71E-06,1.49E-05,-7.405894125,2.71
92.1875,0,2.65E-06,1.49E-05,-7.500189023,2.65
92.578125,0,4.00E-06,1.49E-05,-5.712758087,4
92.96875,0,4.59E-06,1.49E-05,-5.114970763,4.59
93.359375,0,3.04E-06,1.49E-05,-6.902679719,3.04
93.75,0,2.54E-06,1.49E-05,-7.675068435,2.54
94.140625,0,3.97E-06,1.49E-05,-5.743448964,3.97
94.53125,0,4.22E-06,1.49E-05,-5.476203129,4.22
94.921875,0,3.89E-06,1.49E-05,-5.832413562,3.89
95.3125,0,3.80E-06,1.49E-05,-5.934206154,3.8
95.703125,0,3.25E-06,1.49E-05,-6.610076875,3.25
96.09375,0,4.30E-06,1.49E-05,-5.39633891,4.3
96.484375,0,4.93E-06,1.49E-05,-4.803029686,4.93
96.875,0,4.32E-06,1.49E-05,-5.381829239,4.32
97.265625,0,3.14E-06,1.49E-05,-6.75599314,3.14
97.65625,0,4.39E-06,1.49E-05,-5.310534819,4.39
98.046875,0,5.45E-06,1.49E-05,-4.368063414,5.45
98.4375,0,4.47E-06,1.49E-05,-5.228789396,4.47
98.828125,0,4.27E-06,1.49E-05,-5.424079463,4.27
99.21875,0,3.96E-06,1.49E-05,-5.751527717,3.96
99.609375,0,4.99E-06,1.49E-05,-4.754802483,4.99
100,0,5.27E-06,1.49E-05,-4.515562485,5.27
100.390625,0,4.83E-06,1.49E-05,-4.888283258,4.83
100.78125,0,3.76E-06,1.49E-05,-5.982732941,3.76
101.171875,0,4.63E-06,1.49E-05,-5.073290302,4.63
101.5625,0,5.46E-06,1.49E-05,-4.358547691,5.46
101.953125,0,5.14E-06,1.49E-05,-4.619971047,5.14
102.34375,0,4.35E-06,1.49E-05,-5.343461235,4.35
102.734375,0,4.09E-06,1.49E-05,-5.616438302,4.09
103.125,0,5.19E-06,1.49E-05,-4.57827495,5.19
103.515625,0,5.32E-06,1.49E-05,-4.471869697,5.32
103.90625,0,5.25E-06,1.49E-05,-4.533919257,5.25
104.296875,0,4.76E-06,1.49E-05,-4.95773423,4.76
104.6875,0,5.00E-06,1.49E-05,-4.740242615,5
105.078125,0,5.50E-06,1.49E-05,-4.329151852,5.5
105.46875,0,6.34E-06,1.49E-05,-3.714183977,6.34
