Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
58.984375,0,4.90E-08,4.79E-06,-19.90036722,0.049
59.375,0,2.61E-07,4.79E-06,-12.64029592,0.261
59.765625,0,3.17E-07,4.79E-06,-11.79815824,0.317
60.15625,0,2.32E-07,4.79E-06,-13.15690353,0.232
60.546875,0,1.73E-07,4.79E-06,-14.42213102,0.173
60.9375,0,2.99E-07,4.79E-06,-12.04466831,0.299
61.328125,0,1.18E-07,4.79E-06,-16.08909386,0.118
61.71875,0,9.67E-08,4.79E-06,-16.94784877,0.0967
62.109375,0,1.30E-07,4.79E-06,-15.65588792,0.13
62.5,0,1.21E-07,4.79E-06,-15.96399174,0.121
62.890625,0,1.31E-07,4.79E-06,-15.64019721,0.131
63.28125,0,1.83E-07,4.79E-06,-14.17576492,0.183
63.671875,0,1.13E-07,4.79E-06,-16.28714977,0.113
64.0625,0,1.88E-07,4.79E-06,-14.06093355,0.188
64.453125,0,1.93E-07,4.79E-06,-13.95357124,0.193
64.84375,0,1.80E-07,4.79E-06,-14.25904182,0.18
65.234375,0,1.02E-07,4.79E-06,-16.73857919,0.102
65.625,0,1.82E-07,4.79E-06,-14.20039639,0.182
66.015625,0,2.64E-07,4.79E-06,-12.59529677,0.264
66.40625,0,2.21E-07,4.79E-06,-13.3504414,0.221
66.796875,0,1.84E-07,4.79E-06,-14.14367155,0.184
67.1875,0,3.49E-07,4.79E-06,-11.38117528,0.349
67.578125,0,3.30E-07,4.79E-06,-11.62236325,0.33
67.96875,0,3.74E-07,4.79E-06,-11.07290809,0.374
68.359375,0,3.75E-07,4.79E-06,-11.0612107,0.375
68.75,0,2.54E-07,4.79E-06,-12.76227538,0.254
69.140625,0,3.64E-07,4.79E-06,-11.18946088,0.364
69.53125,0,4.67E-07,4.79E-06,-10.1142708,0.467
69.921875,0,3.95E-07,4.79E-06,-10.83560888,0.395
70.3125,0,3.24E-07,4.79E-06,-11.69668409,0.324
70.703125,0,6.10E-07,4.79E-06,-8.951712402,0.61
71.09375,0,4.12E-07,4.79E-06,-10.65036023,0.412
71.484375,0,4.99E-07,4.79E-06,-9.818008903,0.499
71.875,0,4.82E-07,4.79E-06,-9.97663554,0.482
72.265625,0,2.04E-07,4.79E-06,-13.69721422,0.204
72.65625,0,6.81E-07,4.79E-06,-8.470323769,0.681
73.046875,0,6.71E-07,4.79E-06,-8.536823176,0.671
73.4375,0,6.42E-07,4.79E-06,-8.727730891,0.642
73.828125,0,6.25E-07,4.79E-06,-8.843043879,0.625
74.21875,0,5.34E-07,4.79E-06,-9.528341905,0.534
74.609375,0,6.87E-07,4.79E-06,-8.436749815,0.687
75,0,8.57E-07,4.79E-06,-7.473415666,0.857
75.390625,0,7.39E-07,4.79E-06,-8.114819118,0.739
75.78125,0,7.05E-07,4.79E-06,-8.318539468,0.705
76.171875,0,7.03E-07,4.79E-06,-8.336401015,0.703
76.5625,0,7.58E-07,4.79E-06,-8.00686476,0.758
76.953125,0,7.67E-07,4.79E-06,-7.954871541,0.767
77.34375,0,8.38E-07,4.79E-06,-7.569838155,0.838
77.734375,0,6.19E-07,4.79E-06,-8.885838289,0.619
78.125,0,8.19E-07,4.79E-06,-7.669992768,0.819
78.515625,0,1.11E-06,4.79E-06,-6.35272015,1.11
78.90625,0,8.12E-07,4.79E-06,-7.709110226,0.812
79.296875,0,7.80E-07,4.79E-06,-7.880943889,0.78
79.6875,0,5.35E-07,4.79E-06,-9.51784436,0.535
80.078125,0,9.90E-07,4.79E-06,-6.847676616,0.99
80.46875,0,1.19E-06,4.79E-06,-6.042363638,1.19
80.859375,0,8.81E-07,4.79E-06,-7.354114178,0.881
81.25,0,5.38E-07,4.79E-06,-9.496065188,0.538
81.640625,0,8.48E-07,4.79E-06,-7.517691521,0.848
82.03125,0,9.57E-07,4.79E-06,-6.995028632,0.957
82.421875,0,9.53E-07,4.79E-06,-7.014074755,0.953
82.8125,0,7.62E-07,4.79E-06,-7.985038377,0.762
83.203125,0,7.04E-07,4.79E-06,-8.330058557,0.704
83.59375,0,8.83E-07,4.79E-06,-7.344248328,0.883
83.984375,0,1.15E-06,4.79E-06,-6.20710761,1.15
84.375,0,1.16E-06,4.79E-06,-6.171098969,1.16
84.765625,0,6.61E-07,4.79E-06,-8.601443694,0.661
85.15625,0,7.98E-07,4.79E-06,-7.782503425,0.798
85.546875,0,9.71E-07,4.79E-06,-6.932819374,0.971
85.9375,0,9.29E-07,4.79E-06,-7.121310229,0.929
86.328125,0,8.55E-07,4.79E-06,-7.483230256,0.855
86.71875,0,5.91E-07,4.79E-06,-9.090312614,0.591
87.109375,0,7.91E-07,4.79E-06,-7.81996104,0.791
87.5,0,8.77E-07,4.79E-06,-7.373806393,0.877
87.890625,0,8.21E-07,4.79E-06,-7.657617284,0.821
88.28125,0,6.55E-07,4.79E-06,-8.643231569,0.655
88.671875,0,5.82E-07,4.79E-06,-9.153905161,0.582
89.0625,0,7.09E-07,4.79E-06,-8.296489134,0.709
89.453125,0,6.94E-07,4.79E-06,-8.3895533,0.694
89.84375,0,6.29E-07,4.79E-06,-8.814692242,0.629
90.234375,0,3.70E-07,4.79E-06,-11.12610014,0.37
90.625,0,5.78E-07,4.79E-06,-9.183732634,0.578
91.015625,0,7.17E-07,4.79E-06,-8.248866259,0.717
91.40625,0,6.86E-07,4.79E-06,-8.439536644,0.686
91.796875,0,4.96E-07,4.79E-06,-9.848241553,0.496
92.1875,0,4.10E-07,4.79E-06,-10.67572525,0.41
92.578125,0,6.07E-07,4.79E-06,-8.97378484,0.607
92.96875,0,6.60E-07,4.79E-06,-8.611143259,0.66
93.359375,0,5.68E-07,4.79E-06,-9.261729395,0.568
93.75,0,2.61E-07,4.79E-06,-12.63008,0.261
