Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
63.28125,0,3.71E-08,5.03E-06,-21.32447703,0.0371
63.671875,0,7.08E-07,5.03E-06,-8.518209162,0.708
64.0625,0,9.20E-07,5.03E-06,-7.37795075,0.92
64.453125,0,9.64E-07,5.03E-06,-7.17402074,0.964
64.84375,0,6.48E-07,5.03E-06,-8.902602061,0.648
65.234375,0,5.72E-07,5.03E-06,-9.439556981,0.572
65.625,0,1.09E-06,5.03E-06,-6.651367227,1.09
66.015625,0,1.20E-06,5.03E-06,-6.216208849,1.2
66.40625,0,9.92E-07,5.03E-06,-7.050714609,0.992
66.796875,0,6.29E-07,5.03E-06,-9.027362027,0.629
67.1875,0,7.29E-07,5.03E-06,-8.391310368,0.729
67.578125,0,1.13E-06,5.03E-06,-6.497739529,1.13
67.96875,0,1.45E-06,5.03E-06,-5.392712868,1.45
68.359375,0,1.06E-06,5.03E-06,-6.766113346,1.06
68.75,0,4.97E-07,5.03E-06,-10.05336223,0.497
69.140625,0,1.12E-06,5.03E-06,-6.529552942,1.12
69.53125,0,1.45E-06,5.03E-06,-5.411850007,1.45
69.921875,0,1.41E-06,5.03E-06,-5.525377238,1.41
70.3125,0,8.70E-07,5.03E-06,-7.622777209,0.87
70.703125,0,9.65E-07,5.03E-06,-7.169013598,0.965
71.09375,0,1.18E-06,5.03E-06,-6.305602307,1.18
71.484375,0,1.51E-06,5.03E-06,-5.23580976,1.51
71.875,0,1.18E-06,5.03E-06,-6.308668015,1.18
72.265625,0,9.03E-07,5.03E-06,-7.457980007,0.903
72.65625,0,1.10E-06,5.03E-06,-6.61627479,1.1
73.046875,0,1.46E-06,5.03E-06,-5.38610681,1.46
73.4375,0,1.65E-06,5.03E-06,-4.83076069,1.65
73.828125,0,1.31E-06,5.03E-06,-5.84360678,1.31
74.21875,0,8.67E-07,5.03E-06,-7.634670456,0.867
74.609375,0,1.08E-06,5.03E-06,-6.668990282,1.08
75,0,1.56E-06,5.03E-06,-5.071285758,1.56
75.390625,0,1.61E-06,5.03E-06,-4.937519143,1.61
75.78125,0,9.75E-07,5.03E-06,-7.126943456,0.975
76.171875,0,6.27E-07,5.03E-06,-9.039809017,0.627
76.5625,0,1.52E-06,5.03E-06,-5.191133862,1.52
76.953125,0,1.63E-06,5.03E-06,-4.891281368,1.63
77.34375,0,1.13E-06,5.03E-06,-6.489013557,1.13
77.734375,0,4.28E-07,5.03E-06,-10.69640065,0.428
78.125,0,1.24E-06,5.03E-06,-6.091687951,1.24
78.515625,0,1.03E-06,5.03E-06,-6.866989745,1.03
78.90625,0,1.41E-06,5.03E-06,-5.515604661,1.41
79.296875,0,8.78E-07,5.03E-06,-7.578601336,0.878
79.6875,0,6.01E-07,5.03E-06,-9.229205473,0.601
80.078125,0,1.14E-06,5.03E-06,-6.427803257,1.14
80.46875,0,1.18E-06,5.03E-06,-6.290471516,1.18
80.859375,0,1.03E-06,5.03E-06,-6.895981066,1.03
81.25,0,5.04E-07,5.03E-06,-9.988814282,0.504
81.640625,0,7.78E-07,5.03E-06,-8.103169551,0.778
82.03125,0,1.20E-06,5.03E-06,-6.235692666,1.2
82.421875,0,1.11E-06,5.03E-06,-6.560220474,1.11
82.8125,0,8.16E-07,5.03E-06,-7.896534456,0.816
83.203125,0,4.66E-07,5.03E-06,-10.32781323,0.466
83.59375,0,9.29E-07,5.03E-06,-7.337050724,0.929
83.984375,0,1.16E-06,5.03E-06,-6.372024804,1.16
84.375,0,1.04E-06,5.03E-06,-6.861487069,1.04
84.765625,0,7.04E-07,5.03E-06,-8.541907407,0.704
85.15625,0,6.32E-07,5.03E-06,-9.010033489,0.632
85.546875,0,9.55E-07,5.03E-06,-7.217363643,0.955
85.9375,0,9.33E-07,5.03E-06,-7.317422027,0.933
86.328125,0,6.28E-07,5.03E-06,-9.035114657,0.628
86.71875,0,3.23E-07,5.03E-06,-11.92457441,0.323
87.109375,0,6.07E-07,5.03E-06,-9.183348651,0.607
87.5,0,8.51E-07,5.03E-06,-7.717345316,0.851
87.890625,0,8.81E-07,5.03E-06,-7.567244556,0.881
88.28125,0,5.63E-07,5.03E-06,-9.512568803,0.563
88.671875,0,4.74E-07,5.03E-06,-10.2540582,0.474
89.0625,0,7.52E-07,5.03E-06,-8.254801635,0.752
89.453125,0,7.81E-07,5.03E-06,-8.087606111,0.781
89.84375,0,6.08E-07,5.03E-06,-9.175876253,0.608
90.234375,0,1.40E-07,5.03E-06,-15.56402979,0.14
90.625,0,4.57E-07,5.03E-06,-10.41320821,0.457
91.015625,0,7.08E-07,5.03E-06,-8.513948923,0.708
91.40625,0,7.02E-07,5.03E-06,-8.551425382,0.702
91.796875,0,5.71E-07,5.03E-06,-9.45033503,0.571
92.1875,0,4.09E-07,5.03E-06,-10.89879826,0.409
92.578125,0,4.59E-07,5.03E-06,-10.3954842,0.459
92.96875,0,5.13E-07,5.03E-06,-9.914279322,0.513
93.359375,0,5.68E-07,5.03E-06,-9.46865324,0.568
93.75,0,3.39E-07,5.03E-06,-11.70754175,0.339
94.140625,0,3.41E-07,5.03E-06,-11.68765849,0.341
94.53125,0,5.31E-07,5.03E-06,-9.763572587,0.531
94.921875,0,5.81E-07,5.03E-06,-9.374221273,0.581
95.3125,0,5.09E-07,5.03E-06,-9.951991436,0.509
95.703125,0,1.62E-07,5.03E-06,-14.93241399,0.162
96.09375,0,2.51E-07,5.03E-06,-13.01370658,0.251
96.484375,0,4.44E-07,5.03E-06,-10.5389177,0.444
96.875,0,6.39E-07,5.03E-06,-8.959098171,0.639
97.265625,0,5.96E-07,5.03E-06,-9.262953478,0.596
97.65625,0,1.76E-07,5.03E-06,-14.56911672,0.176
98.046875,0,4.31E-07,5.03E-06,-10.67069857,0.431
98.4375,0,5.64E-07,5.03E-06,-9.502372924,0.564
98.828125,0,5.47E-07,5.03E-06,-9.635973321,0.547
99.21875,0,2.31E-07,5.03E-06,-13.38412536,0.231
99.609375,0,2.81E-07,5.03E-06,-12.5319037,0.281
100,0,4.53E-07,5.03E-06,-10.45781763,0.453
100.390625,0,6.14E-07,5.03E-06,-9.133902774,0.614
100.78125,0,5.48E-07,5.03E-06,-9.628605812,0.548
101.171875,0,3.53E-07,5.03E-06,-11.53610373,0.353
101.5625,0,5.08E-07,5.03E-06,-9.960587778,0.508
101.953125,0,6.04E-07,5.03E-06,-9.204797107,0.604
102.34375,0,6.74E-07,5.03E-06,-8.730200917,0.674
102.734375,0,2.79E-07,5.03E-06,-12.56424627,0.279
103.125,0,4.37E-07,5.03E-06,-10.60872733,0.437
103.515625,0,6.89E-07,5.03E-06,-8.630403282,0.689
103.90625,0,8.60E-07,5.03E-06,-7.671044303,0.86
104.296875,0,7.07E-07,5.03E-06,-8.521463599,0.707
104.6875,0,5.46E-07,5.03E-06,-9.643700927,0.546
105.078125,0,6.60E-07,5.03E-06,-8.820621507,0.66
105.46875,0,8.42E-07,5.03E-06,-7.764225254,0.842
105.859375,0,9.10E-07,5.03E-06,-7.425694516,0.91
106.25,0,4.54E-07,5.03E-06,-10.44522081,0.454
106.640625,0,7.79E-07,5.03E-06,-8.101334545,0.779
107.03125,0,1.08E-06,5.03E-06,-6.662295183,1.08
107.421875,0,1.12E-06,5.03E-06,-6.539473778,1.12
107.8125,0,9.40E-07,5.03E-06,-7.284312147,0.94
108.203125,0,7.27E-07,5.03E-06,-8.400259278,0.727
108.59375,0,1.09E-06,5.03E-06,-6.643351699,1.09
108.984375,0,1.32E-06,5.03E-06,-5.819957305,1.32
109.375,0,1.32E-06,5.03E-06,-5.819789125,1.32
109.765625,0,9.82E-07,5.03E-06,-7.095349162,0.982
110.15625,0,1.09E-06,5.03E-06,-6.647116237,1.09
110.546875,0,1.47E-06,5.03E-06,-5.334802398,1.47
110.9375,0,1.52E-06,5.03E-06,-5.206728798,1.52
111.328125,0,1.27E-06,5.03E-06,-5.978904672,1.27
111.71875,0,8.61E-07,5.03E-06,-7.664259925,0.861
112.109375,0,1.39E-06,5.03E-06,-5.58197459,1.39
112.5,0,1.70E-06,5.03E-06,-4.713917329,1.7
112.890625,0,1.61E-06,5.03E-06,-4.954704999,1.61
113.28125,0,1.26E-06,5.03E-06,-6.01670251,1.26
113.671875,0,1.04E-06,5.03E-06,-6.850862158,1.04
114.0625,0,1.63E-06,5.03E-06,-4.896455677,1.63
114.453125,0,1.72E-06,5.03E-06,-4.660892829,1.72
114.84375,0,1.44E-06,5.03E-06,-5.422980424,1.44
115.234375,0,9.24E-07,5.03E-06,-7.357411713,0.924
115.625,0,1.53E-06,5.03E-06,-5.181312904,1.53
116.015625,0,1.88E-06,5.03E-06,-4.262914215,1.88
116.40625,0,1.70E-06,5.03E-06,-4.705249977,1.7
116.796875,0,1.28E-06,5.03E-06,-5.939185147,1.28
117.1875,0,1.23E-06,5.03E-06,-6.100255313,1.23
117.578125,0,1.72E-06,5.03E-06,-4.653769872,1.72
117.96875,0,1.91E-06,5.03E-06,-4.195852108,1.91
118.359375,0,1.69E-06,5.03E-06,-4.740574035,1.69
118.75,0,1.00E-06,5.03E-06,-7.016680146,1
119.140625,0,1.57E-06,5.03E-06,-5.06246855,1.57
119.53125,0,1.92E-06,5.03E-06,-4.171668068,1.92
119.921875,0,2.05E-06,5.03E-06,-3.894530682,2.05
120.3125,0,1.40E-06,5.03E-06,-5.568807822,1.4
120.703125,0,1.19E-06,5.03E-06,-6.266528523,1.19
121.09375,0,1.83E-06,5.03E-06,-4.385695073,1.83
