Frequency (Hz),Distance (mm),Magnitude (m/s),Max Magnitude (m/s),Relative dB,fig
108.984375,0,4.39E-05,8.40E-05,-2.816078575,43.9
109.375,0,3.81E-05,8.40E-05,-3.438314985,38.1
109.765625,0,2.70E-05,8.40E-05,-4.927366937,27
110.15625,0,3.57E-05,8.40E-05,-3.716722648,35.7
110.546875,0,4.18E-05,8.40E-05,-3.0315558,41.8
110.9375,0,4.04E-05,8.40E-05,-3.178191316,40.4
111.328125,0,3.22E-05,8.40E-05,-4.164547063,32.2
111.71875,0,2.86E-05,8.40E-05,-4.680350547,28.6
112.109375,0,3.76E-05,8.40E-05,-3.487925046,37.6
112.5,0,4.05E-05,8.40E-05,-3.166304285,40.5
112.890625,0,3.64E-05,8.40E-05,-3.637318617,36.4
113.28125,0,2.75E-05,8.40E-05,-4.849069548,27.5
113.671875,0,3.23E-05,8.40E-05,-4.154565004,32.3
114.0625,0,3.97E-05,8.40E-05,-3.258797108,39.7
114.453125,0,3.96E-05,8.40E-05,-3.268293922,39.6
114.84375,0,3.30E-05,8.40E-05,-4.054924844,33
115.234375,0,2.70E-05,8.40E-05,-4.929299986,27
115.625,0,3.62E-05,8.40E-05,-3.660317682,36.2
116.015625,0,4.04E-05,8.40E-05,-3.177573355,40.4
116.40625,0,3.72E-05,8.40E-05,-3.531651344,37.2
116.796875,0,2.85E-05,8.40E-05,-4.701857192,28.5
117.1875,0,3.12E-05,8.40E-05,-4.299311122,31.2
117.578125,0,3.83E-05,8.40E-05,-3.416461435,38.3
117.96875,0,3.90E-05,8.40E-05,-3.334503756,39
118.359375,0,3.32E-05,8.40E-05,-4.027198011,33.2
118.75,0,2.54E-05,8.40E-05,-5.191486751,25.4
119.140625,0,3.39E-05,8.40E-05,-3.938405995,33.9
119.53125,0,3.85E-05,8.40E-05,-3.387010309,38.5
119.921875,0,3.81E-05,8.40E-05,-3.437728482,38.1
120.3125,0,2.87E-05,8.40E-05,-4.668511387,28.7
120.703125,0,2.86E-05,8.40E-05,-4.686655677,28.6
121.09375,0,3.56E-05,8.40E-05,-3.726382893,35.6
121.484375,0,3.78E-05,8.40E-05,-3.469565263,37.8
121.875,0,3.31E-05,8.40E-05,-4.042769535,33.1
122.265625,0,2.46E-05,8.40E-05,-5.340719669,24.6
122.65625,0,3.22E-05,8.40E-05,-4.167132205,32.2
123.046875,0,3.75E-05,8.40E-05,-3.505311548,37.5
123.4375,0,3.67E-05,8.40E-05,-3.597751361,36.7
123.828125,0,3.04E-05,8.40E-05,-4.415848859,30.4
124.21875,0,2.80E-05,8.40E-05,-4.767762828,28
124.609375,0,3.61E-05,8.40E-05,-3.661833587,36.1
125,0,3.91E-05,8.40E-05,-3.325946375,39.1
125.390625,0,3.57E-05,8.40E-05,-3.712652319,35.7
125.78125,0,2.75E-05,8.40E-05,-4.855675243,27.5
126.171875,0,3.30E-05,8.40E-05,-4.056925751,33
126.5625,0,3.95E-05,8.40E-05,-3.281799902,39.5
126.953125,0,3.98E-05,8.40E-05,-3.244792617,39.8
127.34375,0,3.39E-05,8.40E-05,-3.93922937,33.9
127.734375,0,2.88E-05,8.40E-05,-4.643638487,28.8
128.125,0,3.81E-05,8.40E-05,-3.437580157,38.1
128.515625,0,4.24E-05,8.40E-05,-2.968424527,42.4
