Observation id,DE18089,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH021067.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-17 16:40:46,,,,,,,
,,,,,,,,
Description,1-2,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
658.363,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
662.219,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
671.858,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
679.568,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaves,,,STOP
679.569,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock,,,START
679.569,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
682.461,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,wall jump,,,POINT
687.281,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock jump,,,POINT
690.172,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,rock,,,STOP
690.173,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
690.173,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaves,,,START
701.740,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
702.704,G:/Shirley/SUBSTRATE CHOICE/GH011067.MP4,1041.470,23.98,,leaf jump,,,POINT
