Observation id,CR18256,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,,,,,,,
Player #1,G:/Shirley/SUBSTRATE CHOICE/GH020995.MP4,,,,,,,
,,,,,,,,
Observation date,2019-01-18 11:39:27,,,,,,,
,,,,,,,,
Description,10-2,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
787.529,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,sand,,,START
787.529,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,sand jump,,,POINT
794.276,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,sand,,,STOP
794.277,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaves,,,START
814.518,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,leaves,,,STOP
814.519,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock,,,START
814.519,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock jump,,,POINT
849.221,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,wall jump,,,POINT
870.427,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock jump,,,POINT
885.850,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,wall jump,,,POINT
898.381,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock jump,,,POINT
924.406,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,rock,,,STOP
924.407,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,wall,,,START
924.407,G:/Shirley/SUBSTRATE CHOICE/GH010995.MP4,1275.030,23.98,,wall jump,,,POINT
1196.002,G:/Shirley/SUBSTRATE CHOICE/GH020995.MP4,1275.030,23.98,,wall,,,STOP
