Source File Name:	SigPro_Rock
Signal:	FFT - Usr FFT / Vib / Velocity - Magnitude

Frequency	Magnitude	Magnitude	Magnitude
[ Hz ]	[ m/s ]	[ m/s ]	[ m/s ]
65.234375	1.173681e-5	9.809244e-6	8.740672e-6
65.625	1.593178e-5	1.628258e-5	1.505684e-5
66.015625	1.761156e-5	2.113473e-5	1.854428e-5
66.40625	1.662311e-5	2.114633e-5	1.72359e-5
66.796875	1.280545e-5	1.573105e-5	1.247389e-5
67.1875	1.569757e-5	1.579274e-5	1.407903e-5
67.578125	1.94068e-5	2.354627e-5	1.973194e-5
67.96875	1.997821e-5	2.660522e-5	2.19052e-5
68.359375	1.751783e-5	2.298709e-5	1.853679e-5
68.75	1.425722e-5	1.370171e-5	1.309166e-5
69.140625	1.959567e-5	2.342023e-5	1.965798e-5
69.53125	2.21351e-5	3.029106e-5	2.452903e-5
69.921875	2.178683e-5	2.963966e-5	2.432567e-5
70.3125	1.764738e-5	2.205241e-5	1.927226e-5
70.703125	1.879491e-5	2.076352e-5	1.86924e-5
71.09375	2.354787e-5	3.089477e-5	2.598304e-5
71.484375	2.509986e-5	3.474203e-5	2.898452e-5
71.875	2.241875e-5	3.035992e-5	2.590957e-5
72.265625	1.734339e-5	1.915861e-5	1.885006e-5
72.65625	2.306608e-5	2.850058e-5	2.517679e-5
73.046875	2.698745e-5	3.695509e-5	3.131675e-5
73.4375	2.704807e-5	3.713918e-5	3.198477e-5
73.828125	2.267877e-5	2.819928e-5	2.63522e-5
74.21875	2.155862e-5	2.298209e-5	2.255829e-5
74.609375	2.755713e-5	3.582188e-5	3.111345e-5
75	3.023153e-5	4.081146e-5	3.562633e-5
75.390625	2.78948e-5	3.619208e-5	3.264064e-5
75.78125	2.151795e-5	2.403416e-5	2.44403e-5
76.171875	2.610405e-5	3.082717e-5	2.896811e-5
76.5625	3.159523e-5	4.102885e-5	3.66378e-5
76.953125	3.255736e-5	4.188302e-5	3.744238e-5
77.34375	2.753157e-5	3.256938e-5	3.132891e-5
77.734375	2.269044e-5	2.318359e-5	2.346846e-5
78.125	3.085895e-5	3.729153e-5	3.500719e-5
78.515625	3.523239e-5	4.405695e-5	3.959591e-5
78.90625	3.246167e-5	4.048724e-5	3.72378e-5
79.296875	2.530333e-5	2.768236e-5	2.762498e-5
79.6875	2.802273e-5	3.020655e-5	2.917238e-5
80.078125	3.534117e-5	4.145271e-5	3.775441e-5
80.46875	3.688141e-5	4.379305e-5	3.959212e-5
80.859375	3.205425e-5	3.599984e-5	3.390819e-5
81.25	2.339803e-5	2.108481e-5	2.161446e-5
81.640625	3.274892e-5	3.661045e-5	3.400988e-5
82.03125	3.807476e-5	4.492687e-5	4.040685e-5
82.421875	3.707276e-5	4.305123e-5	3.857915e-5
82.8125	2.923519e-5	3.03746e-5	2.939686e-5
83.203125	2.888658e-5	2.842654e-5	2.737772e-5
83.59375	3.708126e-5	4.227653e-5	3.78006e-5
83.984375	3.992475e-5	4.674399e-5	4.133585e-5
84.375	3.553871e-5	3.96778e-5	3.570669e-5
84.765625	2.730901e-5	2.276619e-5	2.415002e-5
85.15625	3.495811e-5	3.508851e-5	3.345592e-5
85.546875	4.02144e-5	4.673485e-5	4.047812e-5
85.9375	4.015483e-5	4.590805e-5	4.037025e-5
86.328125	3.352936e-5	3.486466e-5	3.177471e-5
86.71875	2.823693e-5	2.790316e-5	2.626317e-5
87.109375	3.875625e-5	4.315248e-5	3.782894e-5
87.5	4.262757e-5	4.943793e-5	4.236838e-5
87.890625	3.909122e-5	4.391115e-5	3.822733e-5
88.28125	2.957e-5	2.825239e-5	2.707653e-5
88.671875	3.439061e-5	3.639142e-5	3.300397e-5
